No.,설비속성ID,설비속성명,설비속성식별명,설비속성설명,속성그룹,속성구분,데이터유형,최대길이,소수점자리수,단위그룹,기본단위,필수속성,정렬순서,상세설비속성여부,사용여부
6365,16313,HIGH OIL FILTER DELTA P_VENDOR,,HIGH OIL FILTER DELTA P_VENDOR,GAS TURBINE,개별속성,코드,"1,000.0",0.0,,,N,16313,N,Y
6366,16314,HIGH PRESSURE CASING MATERIAL,,HIGH PRESSURE CASING MATERIAL,SPECIAL PURPOSE STEAM TURBINE,개별속성,문자,"1,000.0",0.0,,,N,16314,N,Y
6367,16315,HIGH PRESSURE CASING_GRADE_MATERIALS,,HIGH PRESSURE CASING_GRADE_MATERIALS,GENERAL PURPOSE STEAM TURBINE,개별속성,문자,"1,000.0",0.0,,,N,16315,N,Y
6368,16316,HIGH PRESSURE CASING_MATERIALS,,HIGH PRESSURE CASING_MATERIALS,GENERAL PURPOSE STEAM TURBINE,개별속성,문자,"1,000.0",0.0,,,N,16316,N,Y
6369,16317,HIGH RADIAL BEARING TEMPERATURE_ALARM,,HIGH RADIAL BEARING TEMPERATURE_ALARM,GAS TURBINE,개별속성,코드,"1,000.0",0.0,,,N,16317,N,Y
6370,16318,HIGH RADIAL BEARING TEMPERATURE_LIGHT ONLY,,HIGH RADIAL BEARING TEMPERATURE_LIGHT ONLY,GAS TURBINE,개별속성,코드,"1,000.0",0.0,,,N,16318,N,Y
6371,16319,HIGH RADIAL BEARING TEMPERATURE_OTHERS,,HIGH RADIAL BEARING TEMPERATURE_OTHERS,GAS TURBINE,개별속성,코드,"1,000.0",0.0,,,N,16319,N,Y
6372,16320,HIGH RADIAL BEARING TEMPERATURE_SHUT DOWN,,HIGH RADIAL BEARING TEMPERATURE_SHUT DOWN,GAS TURBINE,개별속성,코드,"1,000.0",0.0,,,N,16320,N,Y
6373,16321,HIGH RADIAL BEARING TEMPERATURE_TO SEP POWER TURBINE,,HIGH RADIAL BEARING TEMPERATURE_TO SEP POWER TURBINE,GAS TURBINE,개별속성,코드,"1,000.0",0.0,,,N,16321,N,Y
6374,16322,HIGH RADIAL BEARING TEMPERATURE_TO SINGLE SHAFT OR GG,,HIGH RADIAL BEARING TEMPERATURE_TO SINGLE SHAFT OR GG,GAS TURBINE,개별속성,코드,"1,000.0",0.0,,,N,16322,N,Y
6375,16323,HIGH RADIAL BEARING TEMPERATURE_VENDOR,,HIGH RADIAL BEARING TEMPERATURE_VENDOR,GAS TURBINE,개별속성,코드,"1,000.0",0.0,,,N,16323,N,Y
6376,16324,HIGH SEAL OIL FILTER DIFFERENTIAL PRESSURE ALARM BY PURCHASER,,HIGH SEAL OIL FILTER DIFFERENTIAL PRESSURE ALARM BY PURCHASER,ROTARY COMPRESSOR,개별속성,코드,"1,000.0",0.0,,,N,16324,N,Y
6377,16325,HIGH SEAL OIL FILTER DIFFERENTIAL PRESSURE ALARM BY VENDOR,,HIGH SEAL OIL FILTER DIFFERENTIAL PRESSURE ALARM BY VENDOR,ROTARY COMPRESSOR,개별속성,코드,"1,000.0",0.0,,,N,16325,N,Y
6378,16326,HIGH SEAL OIL FILTER DIFFERENTIAL PRESSURE TRIP BY PURCHASER,,HIGH SEAL OIL FILTER DIFFERENTIAL PRESSURE TRIP BY PURCHASER,ROTARY COMPRESSOR,개별속성,코드,"1,000.0",0.0,,,N,16326,N,Y
6379,16327,HIGH SEAL OIL FILTER DIFFERENTIAL PRESSURE TRIP BY VENDOR,,HIGH SEAL OIL FILTER DIFFERENTIAL PRESSURE TRIP BY VENDOR,ROTARY COMPRESSOR,개별속성,코드,"1,000.0",0.0,,,N,16327,N,Y
6380,16328,HIGH SEAL OIL LEVEL ALARM BY PURCHASER,,HIGH SEAL OIL LEVEL ALARM BY PURCHASER,ROTARY COMPRESSOR,개별속성,코드,"1,000.0",0.0,,,N,16328,N,Y
6381,16329,HIGH SEAL OIL LEVEL ALARM BY VENDOR,,HIGH SEAL OIL LEVEL ALARM BY VENDOR,ROTARY COMPRESSOR,개별속성,코드,"1,000.0",0.0,,,N,16329,N,Y
6382,16330,HIGH SEAL OIL LEVEL TRIP BY PURCHASER,,HIGH SEAL OIL LEVEL TRIP BY PURCHASER,ROTARY COMPRESSOR,개별속성,코드,"1,000.0",0.0,,,N,16330,N,Y
6383,16331,HIGH SEAL OIL LEVEL TRIP BY VENDOR,,HIGH SEAL OIL LEVEL TRIP BY VENDOR,ROTARY COMPRESSOR,개별속성,코드,"1,000.0",0.0,,,N,16331,N,Y
6384,16332,HIGH SEAL OIL OUTLET TEMPERATURE ALARM BY PURCHASER,,HIGH SEAL OIL OUTLET TEMPERATURE ALARM BY PURCHASER,ROTARY COMPRESSOR,개별속성,코드,"1,000.0",0.0,,,N,16332,N,Y
6385,16333,HIGH SEAL OIL OUTLET TEMPERATURE ALARM BY VENDOR,,HIGH SEAL OIL OUTLET TEMPERATURE ALARM BY VENDOR,ROTARY COMPRESSOR,개별속성,코드,"1,000.0",0.0,,,N,16333,N,Y
6386,16334,HIGH SEAL OIL OUTLET TEMPERATURE TRIP BY PURCHASER,,HIGH SEAL OIL OUTLET TEMPERATURE TRIP BY PURCHASER,ROTARY COMPRESSOR,개별속성,코드,"1,000.0",0.0,,,N,16334,N,Y
6387,16335,HIGH SEAL OIL OUTLET TEMPERATURE TRIP BY VENDOR,,HIGH SEAL OIL OUTLET TEMPERATURE TRIP BY VENDOR,ROTARY COMPRESSOR,개별속성,코드,"1,000.0",0.0,,,N,16335,N,Y
6388,16336,HIGH SEAL OIL PRESSURE ALARM BY PURCHASER,,HIGH SEAL OIL PRESSURE ALARM BY PURCHASER,ROTARY COMPRESSOR,개별속성,코드,"1,000.0",0.0,,,N,16336,N,Y
6389,16337,HIGH SEAL OIL PRESSURE ALARM BY VENDOR,,HIGH SEAL OIL PRESSURE ALARM BY VENDOR,ROTARY COMPRESSOR,개별속성,코드,"1,000.0",0.0,,,N,16337,N,Y
6390,16338,HIGH SEAL OIL PRESSURE TRIP BY PURCHASER,,HIGH SEAL OIL PRESSURE TRIP BY PURCHASER,ROTARY COMPRESSOR,개별속성,코드,"1,000.0",0.0,,,N,16338,N,Y
6391,16339,HIGH SEAL OIL PRESSURE TRIP BY VENDOR,,HIGH SEAL OIL PRESSURE TRIP BY VENDOR,ROTARY COMPRESSOR,개별속성,코드,"1,000.0",0.0,,,N,16339,N,Y
6392,16340,HIGH SPEED BEARINGS NUMBER SENSORS EACH,,HIGH SPEED BEARINGS NUMBER SENSORS EACH,GEAR BOX,개별속성,문자,"1,000.0",0.0,,,N,16340,N,Y
6393,16341,HIGH SPEED COUPLING REQUIRED,,HIGH SPEED COUPLING REQUIRED,RECIPROCATING COMPRESSOR,개별속성,코드,"1,000.0",0.0,,,N,16341,N,Y
6394,16342,HIGH SPEED SHAFT ROTATING FACING COUPLING_CLOCKWISE REQUIRED,,HIGH SPEED SHAFT ROTATING FACING COUPLING_CLOCKWISE REQUIRED,GEAR BOX,개별속성,코드,"1,000.0",0.0,,,N,16342,N,Y
6395,16343,HIGH SPEED SHAFT ROTATION FACING COUPLING_COUNTER CLOCKWISE REQUIRED,,HIGH SPEED SHAFT ROTATION FACING COUPLING_COUNTER CLOCKWISE REQUIRED,GEAR BOX,개별속성,코드,"1,000.0",0.0,,,N,16343,N,Y
6396,16344,HIGH SPEED SHAFT SEPARATE HARDNESS RANGE,,HIGH SPEED SHAFT SEPARATE HARDNESS RANGE,GEAR BOX,개별속성,숫자,18.0,5.0,,,N,16344,N,Y
6397,16345,HIGH SPEED SHAFT_MATERIALS,,HIGH SPEED SHAFT_MATERIALS,GEAR BOX,개별속성,문자,"1,000.0",0.0,,,N,16345,N,Y
6398,16346,HIGH THRUST BEARING TEMPERATURE_ALARM,,HIGH THRUST BEARING TEMPERATURE_ALARM,GAS TURBINE,개별속성,코드,"1,000.0",0.0,,,N,16346,N,Y
6399,16347,HIGH THRUST BEARING TEMPERATURE_LIGHT ONLY,,HIGH THRUST BEARING TEMPERATURE_LIGHT ONLY,GAS TURBINE,개별속성,코드,"1,000.0",0.0,,,N,16347,N,Y
6400,16348,HIGH THRUST BEARING TEMPERATURE_OTHERS,,HIGH THRUST BEARING TEMPERATURE_OTHERS,GAS TURBINE,개별속성,코드,"1,000.0",0.0,,,N,16348,N,Y
6401,16349,HIGH THRUST BEARING TEMPERATURE_SHUT DOWN,,HIGH THRUST BEARING TEMPERATURE_SHUT DOWN,GAS TURBINE,개별속성,코드,"1,000.0",0.0,,,N,16349,N,Y
6402,16350,HIGH THRUST BEARING TEMPERATURE_TO SEP POWER TURBINE,,HIGH THRUST BEARING TEMPERATURE_TO SEP POWER TURBINE,GAS TURBINE,개별속성,코드,"1,000.0",0.0,,,N,16350,N,Y
6403,16351,HIGH THRUST BEARING TEMPERATURE_TO SINGLE SHAFT OR GG,,HIGH THRUST BEARING TEMPERATURE_TO SINGLE SHAFT OR GG,GAS TURBINE,개별속성,코드,"1,000.0",0.0,,,N,16351,N,Y
6404,16352,HIGH THRUST BEARING TEMPERATURE_VENDOR,,HIGH THRUST BEARING TEMPERATURE_VENDOR,GAS TURBINE,개별속성,코드,"1,000.0",0.0,,,N,16352,N,Y
6405,16353,HIGH TURBINE STEAM SEAL LEAKAGE PRE ALARM BY PURCHASER,,HIGH TURBINE STEAM SEAL LEAKAGE PRE ALARM BY PURCHASER,ROTARY COMPRESSOR,개별속성,코드,"1,000.0",0.0,,,N,16353,N,Y
6406,16354,HIGH TURBINE STEAM SEAL LEAKAGE PRE ALARM BY VENDOR,,HIGH TURBINE STEAM SEAL LEAKAGE PRE ALARM BY VENDOR,ROTARY COMPRESSOR,개별속성,코드,"1,000.0",0.0,,,N,16354,N,Y
6407,16355,HIGH TURBINE STEAM SEAL LEAKAGE TRIP BY PURCHASER,,HIGH TURBINE STEAM SEAL LEAKAGE TRIP BY PURCHASER,ROTARY COMPRESSOR,개별속성,코드,"1,000.0",0.0,,,N,16355,N,Y
6408,16356,HIGH TURBINE STEAM SEAL LEAKAGE TRIP BY VENDOR,,HIGH TURBINE STEAM SEAL LEAKAGE TRIP BY VENDOR,ROTARY COMPRESSOR,개별속성,코드,"1,000.0",0.0,,,N,16356,N,Y
6409,16357,HIGHLEVEL,,HIGHLEVEL,MIXER AND AGITATOR,개별속성,숫자,18.0,5.0,,,N,16357,N,Y
6410,16358,HISTORICAL ARCHIVING FORMAT,,HISTORICAL ARCHIVING FORMAT,SPECIAL PURPOSE STEAM TURBINE,개별속성,코드,"1,000.0",0.0,,,N,16358,N,Y
6411,16359,HMI (YES/NO),,HMI (YES/NO),CONTROL & MONITORING SYSTEM 공통,개별속성,문자,"1,000.0",0.0,,,N,16359,N,Y
6412,16360,HORIZONTAL STORAGE REQUIRED,,HORIZONTAL STORAGE REQUIRED,INTEGRALLY GEARED COMPRESSOR (PROCESS),개별속성,코드,"1,000.0",0.0,,,N,16360,N,Y
6413,16361,HORIZONTAL Z FORCE,,HORIZONTAL Z FORCE,ROTARY COMPRESSOR,개별속성,숫자,18.0,5.0,,,N,16361,N,Y
6414,16362,HORIZONTAL Z FORCE2,,HORIZONTAL Z FORCE2,ROTARY COMPRESSOR,개별속성,숫자,18.0,5.0,,,N,16362,N,Y
6415,16363,HORIZONTAL Z MOMENT,,HORIZONTAL Z MOMENT,ROTARY COMPRESSOR,개별속성,숫자,18.0,5.0,,,N,16363,N,Y
6416,16364,HORIZONTAL Z MOMENT2,,HORIZONTAL Z MOMENT2,ROTARY COMPRESSOR,개별속성,숫자,18.0,5.0,,,N,16364,N,Y
6417,16365,HOT GAS PATH INSPECTIONS,,HOT GAS PATH INSPECTIONS,GAS TURBINE,개별속성,문자,"1,000.0",0.0,,,N,16365,N,Y
6418,16366,HOUSING ACCESS DOORS NUMBER,,HOUSING ACCESS DOORS NUMBER,CENTRIFUGAL BLOWER AND FAN,개별속성,문자,"1,000.0",0.0,,,N,16366,N,Y
6419,16367,HOUSING ACCESS DOORS SIZE LENGTH,,HOUSING ACCESS DOORS SIZE LENGTH,CENTRIFUGAL BLOWER AND FAN,개별속성,숫자,18.0,5.0,,,N,16367,N,Y
6420,16368,HOUSING ACCESS DOORS SIZE WIDTH,,HOUSING ACCESS DOORS SIZE WIDTH,CENTRIFUGAL BLOWER AND FAN,개별속성,숫자,18.0,5.0,,,N,16368,N,Y
6421,16369,HOUSING DRAINS NUMBER,,HOUSING DRAINS NUMBER,CENTRIFUGAL BLOWER AND FAN,개별속성,문자,"1,000.0",0.0,,,N,16369,N,Y
6422,16370,HOUSING DRAINS SIZE,,HOUSING DRAINS SIZE,CENTRIFUGAL BLOWER AND FAN,개별속성,문자,"1,000.0",0.0,,,N,16370,N,Y
6423,16371,HOUSING MATERIAL,,HOUSING MATERIAL,CENTRIFUGAL BLOWER AND FAN,개별속성,문자,"1,000.0",0.0,,,N,16371,N,Y
6424,16372,HOUSING SPLIT FOR WHEEL REMOVAL,,HOUSING SPLIT FOR WHEEL REMOVAL,CENTRIFUGAL BLOWER AND FAN,개별속성,문자,"1,000.0",0.0,,,N,16372,N,Y
6425,16373,HOUSING THICKNESS,,HOUSING THICKNESS,CENTRIFUGAL BLOWER AND FAN,개별속성,숫자,18.0,5.0,,,N,16373,N,Y
6426,16374,HOUSING VIBRATION,,HOUSING VIBRATION,ROTARY COMPRESSOR,개별속성,숫자,18.0,5.0,,,N,16374,N,Y
6427,16375,HUB KEYED,,HUB KEYED,CENTRIFUGAL BLOWER AND FAN,개별속성,코드,"1,000.0",0.0,,,N,16375,N,Y
6428,16376,HUB MATERIAL,,HUB MATERIAL,CENTRIFUGAL BLOWER AND FAN,개별속성,문자,"1,000.0",0.0,,,N,16376,N,Y
6429,16377,HUB SHRINK FIT,,HUB SHRINK FIT,CENTRIFUGAL BLOWER AND FAN,개별속성,코드,"1,000.0",0.0,,,N,16377,N,Y
6430,16378,HUB WEIGHT,,HUB WEIGHT,COMPRESSOR 공통,개별속성,숫자,18.0,5.0,,,N,16378,N,Y
6431,16379,HUMIDIFIER CAPACITY,,HUMIDIFIER CAPACITY,AIR HANDLING UNIT,개별속성,문자,"1,000.0",0.0,,,N,16379,N,Y
6432,16380,HUMIDIFIER TYPE,,HUMIDIFIER TYPE,AIR HANDLING UNIT,개별속성,문자,"1,000.0",0.0,,,N,16380,N,Y
6433,16381,HYDRAULIC COUPLING INSPECTION OBSERVED,,HYDRAULIC COUPLING INSPECTION OBSERVED,GAS TURBINE,개별속성,코드,"1,000.0",0.0,,,N,16381,N,Y
6434,16382,HYDRAULIC COUPLING INSPECTION REQUIRED,,HYDRAULIC COUPLING INSPECTION REQUIRED,ROTATING EQUIPMENT 공통,개별속성,코드,"1,000.0",0.0,,,N,16382,N,Y
6435,16383,HYDRAULIC COUPLING INSPECTION WITNESSED,,HYDRAULIC COUPLING INSPECTION WITNESSED,GAS TURBINE,개별속성,코드,"1,000.0",0.0,,,N,16383,N,Y
6436,16384,HYDRAULIC COUPLING INSPECTION_OBSERVE REQUIRED,,HYDRAULIC COUPLING INSPECTION_OBSERVE REQUIRED,INTEGRALLY GEARED COMPRESSOR (PROCESS),개별속성,코드,"1,000.0",0.0,,,N,16384,N,Y
6437,16385,HYDRAULIC COUPLING INSPECTION_WITNESS REQUIRED,,HYDRAULIC COUPLING INSPECTION_WITNESS REQUIRED,INTEGRALLY GEARED COMPRESSOR (PROCESS),개별속성,코드,"1,000.0",0.0,,,N,16385,N,Y
6438,16386,HYDRAULIC COUPLING MOUNTING/REMOVAL KIT REQUIRED,,HYDRAULIC COUPLING MOUNTING/REMOVAL KIT REQUIRED,SPECIAL PURPOSE STEAM TURBINE,개별속성,코드,"1,000.0",0.0,,,N,16386,N,Y
6439,16387,HYDRAULIC DIAPHRAGM MATERIALS,,HYDRAULIC DIAPHRAGM MATERIALS,CONTROLLED VOLUME PUMP,개별속성,문자,"1,000.0",0.0,,,N,16387,N,Y
6440,16388,HYDRAULIC EFFICIENCY AT RATED IMPELLER,,HYDRAULIC EFFICIENCY AT RATED IMPELLER,SEALLESS PUMP,개별속성,숫자,18.0,5.0,,,N,16388,N,Y
6441,16389,HYDRAULIC FIT COUPLING,,HYDRAULIC FIT COUPLING,ROTARY COMPRESSOR,개별속성,코드,"1,000.0",0.0,,,N,16389,N,Y
6442,16390,HYDRAULIC FLUID REQUIRED,,HYDRAULIC FLUID REQUIRED,CONTROLLED VOLUME PUMP,개별속성,코드,"1,000.0",0.0,,,N,16390,N,Y
6443,16391,HYDRAULIC LINE TYPE_OTHER DESCRIPTION,,HYDRAULIC LINE TYPE_OTHER DESCRIPTION,ROTATING EQUIPMENT 공통,개별속성,문자,"1,000.0",0.0,,,N,16391,N,Y
6444,16392,HYDRAULIC LINE TYPE_OTHER REQUIRED,,HYDRAULIC LINE TYPE_OTHER REQUIRED,ROTATING EQUIPMENT 공통,개별속성,코드,"1,000.0",0.0,,,N,16392,N,Y
6445,16393,HYDRAULIC LINE TYPE_PIPE MATERIAL,,HYDRAULIC LINE TYPE_PIPE MATERIAL,ROTATING EQUIPMENT 공통,개별속성,문자,"1,000.0",0.0,,,N,16393,N,Y
6446,16394,HYDRAULIC LINE TYPE_PIPE REQUIRED,,HYDRAULIC LINE TYPE_PIPE REQUIRED,ROTATING EQUIPMENT 공통,개별속성,코드,"1,000.0",0.0,,,N,16394,N,Y
6447,16395,HYDRAULIC LINE TYPE_PIPE SIZE,,HYDRAULIC LINE TYPE_PIPE SIZE,ROTATING EQUIPMENT 공통,개별속성,문자,"1,000.0",0.0,,,N,16395,N,Y
6448,16396,HYDRAULIC LINE TYPE_TUBE MATERIAL,,HYDRAULIC LINE TYPE_TUBE MATERIAL,ROTATING EQUIPMENT 공통,개별속성,문자,"1,000.0",0.0,,,N,16396,N,Y
6449,16397,HYDRAULIC LINE TYPE_TUBE REQUIRED,,HYDRAULIC LINE TYPE_TUBE REQUIRED,ROTATING EQUIPMENT 공통,개별속성,코드,"1,000.0",0.0,,,N,16397,N,Y
6450,16398,HYDRAULIC LINE TYPE_TUBE SIZE,,HYDRAULIC LINE TYPE_TUBE SIZE,ROTATING EQUIPMENT 공통,개별속성,문자,"1,000.0",0.0,,,N,16398,N,Y
6451,16399,HYDRAULIC OIL PUMP DRIVE_ELECTRIC FREQUENCY,,HYDRAULIC OIL PUMP DRIVE_ELECTRIC FREQUENCY,ROTATING EQUIPMENT 공통,개별속성,숫자,18.0,5.0,,,N,16399,N,Y
6452,16400,HYDRAULIC OIL PUMP DRIVE_ELECTRIC POWER,,HYDRAULIC OIL PUMP DRIVE_ELECTRIC POWER,ROTATING EQUIPMENT 공통,개별속성,숫자,18.0,5.0,,,N,16400,N,Y
6453,16401,HYDRAULIC OIL PUMP DRIVE_ELECTRIC REQUIRED,,HYDRAULIC OIL PUMP DRIVE_ELECTRIC REQUIRED,ROTATING EQUIPMENT 공통,개별속성,코드,"1,000.0",0.0,,,N,16401,N,Y
6454,16402,HYDRAULIC OIL PUMP DRIVE_ELECTRIC VOLTAGE,,HYDRAULIC OIL PUMP DRIVE_ELECTRIC VOLTAGE,ROTATING EQUIPMENT 공통,개별속성,숫자,18.0,5.0,,,N,16402,N,Y
6455,16403,HYDRAULIC OIL PUMP DRIVE_OTHER DESCRIPTION,,HYDRAULIC OIL PUMP DRIVE_OTHER DESCRIPTION,ROTATING EQUIPMENT 공통,개별속성,문자,"1,000.0",0.0,,,N,16403,N,Y
6456,16404,HYDRAULIC OIL PUMP DRIVE_OTHER REQUIRED,,HYDRAULIC OIL PUMP DRIVE_OTHER REQUIRED,ROTATING EQUIPMENT 공통,개별속성,코드,"1,000.0",0.0,,,N,16404,N,Y
6457,16405,HYDRAULIC OIL PUMP DRIVE_PNEUMATIC REQUIRED,,HYDRAULIC OIL PUMP DRIVE_PNEUMATIC REQUIRED,ROTATING EQUIPMENT 공통,개별속성,코드,"1,000.0",0.0,,,N,16405,N,Y
6458,16406,HYDRAULIC OIL PUMP MANUFACTURER,,HYDRAULIC OIL PUMP MANUFACTURER,ROTATING EQUIPMENT 공통,개별속성,문자,"1,000.0",0.0,,,N,16406,N,Y
6459,16407,HYDRAULIC OIL PUMP MODEL NUMBER,,HYDRAULIC OIL PUMP MODEL NUMBER,ROTATING EQUIPMENT 공통,개별속성,문자,"1,000.0",0.0,,,N,16407,N,Y
6460,16408,HYDRAULIC OIL PUMP POWER TRANSMISSION TYPE_BELT REQUIRED,,HYDRAULIC OIL PUMP POWER TRANSMISSION TYPE_BELT REQUIRED,ROTATING EQUIPMENT 공통,개별속성,코드,"1,000.0",0.0,,,N,16408,N,Y
6461,16409,HYDRAULIC OIL PUMP POWER TRANSMISSION TYPE_COUPLING REQUIRED,,HYDRAULIC OIL PUMP POWER TRANSMISSION TYPE_COUPLING REQUIRED,ROTATING EQUIPMENT 공통,개별속성,코드,"1,000.0",0.0,,,N,16409,N,Y
6462,16410,HYDRAULIC OIL PUMP POWER TRANSMISSION TYPE_OTHER DESCRIPTION,,HYDRAULIC OIL PUMP POWER TRANSMISSION TYPE_OTHER DESCRIPTION,ROTATING EQUIPMENT 공통,개별속성,문자,"1,000.0",0.0,,,N,16410,N,Y
6463,16411,HYDRAULIC OIL PUMP POWER TRANSMISSION TYPE_OTHER REQUIRED,,HYDRAULIC OIL PUMP POWER TRANSMISSION TYPE_OTHER REQUIRED,ROTATING EQUIPMENT 공통,개별속성,코드,"1,000.0",0.0,,,N,16411,N,Y
6464,16412,HYDRAULIC OIL PUMP_DISCHARGE PRESSURE,,HYDRAULIC OIL PUMP_DISCHARGE PRESSURE,ROTATING EQUIPMENT 공통,개별속성,숫자,18.0,5.0,,,N,16412,N,Y
6465,16413,HYDRAULIC OIL PUMP_DISCHARGE RELIEF VALVE SET PRESSURE,,HYDRAULIC OIL PUMP_DISCHARGE RELIEF VALVE SET PRESSURE,ROTATING EQUIPMENT 공통,개별속성,숫자,18.0,5.0,,,N,16413,N,Y
6466,16414,HYDRAULIC OIL PUMP_RPM,,HYDRAULIC OIL PUMP_RPM,ROTATING EQUIPMENT 공통,개별속성,숫자,18.0,5.0,,,N,16414,N,Y
6467,16415,HYDRAULIC OIL RESERVOIR CAPACITY,,HYDRAULIC OIL RESERVOIR CAPACITY,ROTATING EQUIPMENT 공통,개별속성,숫자,18.0,5.0,,,N,16415,N,Y
6468,16416,HYDRAULIC OIL RESERVOIR MATERIAL,,HYDRAULIC OIL RESERVOIR MATERIAL,ROTATING EQUIPMENT 공통,개별속성,문자,"1,000.0",0.0,,,N,16416,N,Y
6469,16417,HYDRAULIC OIL RESERVOIR SIZE,,HYDRAULIC OIL RESERVOIR SIZE,ROTATING EQUIPMENT 공통,개별속성,문자,"1,000.0",0.0,,,N,16417,N,Y
6470,16418,HYDRAULIC OIL SYSTEM_OPERATION_CAPACITY,,HYDRAULIC OIL SYSTEM_OPERATION_CAPACITY,LOADING ARM 공통,개별속성,숫자,18.0,5.0,,,N,16418,N,Y
6471,16419,HYDRAULIC OIL TYPE,,HYDRAULIC OIL TYPE,ROTATING EQUIPMENT 공통,개별속성,문자,"1,000.0",0.0,,,N,16419,N,Y
6472,16420,HYDRAULIC OPERATION REQUIRED,,HYDRAULIC OPERATION REQUIRED,LOADING ARM 공통,개별속성,코드,"1,000.0",0.0,,,N,16420,N,Y
6473,16421,HYDRAULIC POWER,,HYDRAULIC POWER,PUMP 공통,개별속성,숫자,18.0,5.0,,,N,16421,N,Y
6474,16422,HYDRAULIC TENSIONING TOOL_REQUIRED Y/N,,HYDRAULIC TENSIONING TOOL_REQUIRED Y/N,RECIPROCATING COMPRESSOR,개별속성,문자,"1,000.0",0.0,,,N,16422,N,Y
6475,16423,HYDRO TEST PRESSURE,,HYDRO TEST PRESSURE,CONTROLLED VOLUME PUMP,개별속성,숫자,18.0,5.0,,,N,16423,N,Y
6476,16424,HYDRODYNAMIC THRUST BEARING SIZE REVIEW REQUIRED,,HYDRODYNAMIC THRUST BEARING SIZE REVIEW REQUIRED,CENTRIFUGAL PUMP,개별속성,코드,"1,000.0",0.0,,,N,16424,N,Y
6477,16425,HYDROGEN SULFIDE CONCENTRATION,,HYDROGEN SULFIDE CONCENTRATION,PUMP 공통,개별속성,숫자,18.0,5.0,,,N,16425,N,Y
6478,16426,HYDROGEN SULFIDE_MAXIMUM,,HYDROGEN SULFIDE_MAXIMUM,ROTARY COMPRESSOR,개별속성,숫자,18.0,5.0,,,N,16426,N,Y
6479,16427,HYDROGEN SULFIDE_NORMAL,,HYDROGEN SULFIDE_NORMAL,INTEGRALLY GEARED COMPRESSOR (PROCESS),개별속성,숫자,18.0,5.0,,,N,16427,N,Y
6480,16428,HYDROGEN SULFIDE_NORMAL,,HYDROGEN SULFIDE_NORMAL,ROTARY COMPRESSOR,개별속성,숫자,18.0,5.0,,,N,16428,N,Y
6481,16429,HYDROGEN SULFIDE_OTHER A,,HYDROGEN SULFIDE_OTHER A,INTEGRALLY GEARED COMPRESSOR (PROCESS),개별속성,문자,"1,000.0",0.0,,,N,16429,N,Y
6482,16430,HYDROGEN SULFIDE_OTHER B,,HYDROGEN SULFIDE_OTHER B,INTEGRALLY GEARED COMPRESSOR (PROCESS),개별속성,문자,"1,000.0",0.0,,,N,16430,N,Y
6483,16431,HYDROGEN SULFIDE_OTHER C,,HYDROGEN SULFIDE_OTHER C,INTEGRALLY GEARED COMPRESSOR (PROCESS),개별속성,문자,"1,000.0",0.0,,,N,16431,N,Y
6484,16432,HYDROGEN SULFIDE_OTHER CONDITIONS A,,HYDROGEN SULFIDE_OTHER CONDITIONS A,ROTARY COMPRESSOR,개별속성,문자,"1,000.0",0.0,,,N,16432,N,Y
6485,16433,HYDROGEN SULFIDE_OTHER CONDITIONS B,,HYDROGEN SULFIDE_OTHER CONDITIONS B,ROTARY COMPRESSOR,개별속성,문자,"1,000.0",0.0,,,N,16433,N,Y
6486,16434,HYDROGEN SULFIDE_OTHER CONDITIONS C,,HYDROGEN SULFIDE_OTHER CONDITIONS C,ROTARY COMPRESSOR,개별속성,문자,"1,000.0",0.0,,,N,16434,N,Y
6487,16435,HYDROGEN SULFIDE_OTHER CONDITIONS D,,HYDROGEN SULFIDE_OTHER CONDITIONS D,ROTARY COMPRESSOR,개별속성,문자,"1,000.0",0.0,,,N,16435,N,Y
6488,16436,HYDROGEN SULFIDE_OTHER D,,HYDROGEN SULFIDE_OTHER D,INTEGRALLY GEARED COMPRESSOR (PROCESS),개별속성,문자,"1,000.0",0.0,,,N,16436,N,Y
6489,16437,HYDROGEN SULFIDE_OTHER E,,HYDROGEN SULFIDE_OTHER E,INTEGRALLY GEARED COMPRESSOR (PROCESS),개별속성,문자,"1,000.0",0.0,,,N,16437,N,Y
6490,16438,HYDROGEN SULFIDE_REMARKS,,HYDROGEN SULFIDE_REMARKS,ROTARY COMPRESSOR,개별속성,문자,"1,000.0",0.0,,,N,16438,N,Y
6491,16439,HYDROGEN_ALTERNATE,,HYDROGEN_ALTERNATE,GAS TURBINE,개별속성,숫자,18.0,5.0,,,N,16439,N,Y
6492,16440,HYDROGEN_MAXIMUM,,HYDROGEN_MAXIMUM,ROTARY COMPRESSOR,개별속성,숫자,18.0,5.0,,,N,16440,N,Y
6493,16441,HYDROGEN_NORMAL,,HYDROGEN_NORMAL,ROTATING EQUIPMENT 공통,개별속성,숫자,18.0,5.0,,,N,16441,N,Y
6494,16442,HYDROGEN_NORMAL,,HYDROGEN_NORMAL,ROTARY COMPRESSOR,개별속성,숫자,18.0,5.0,,,N,16442,N,Y
6495,16443,HYDROGEN_OTHER A,,HYDROGEN_OTHER A,INTEGRALLY GEARED COMPRESSOR (PROCESS),개별속성,문자,"1,000.0",0.0,,,N,16443,N,Y
